"gene","beta_T","p_BH","beta_R","p_R","r_grade_T","r_grade_R","r_idh_T","r_idh_R","replicated","qc_flag"
"ATP8A1",-0.465449389016311,1.53934691157207e-16,-0.320381684838131,1.07522411566872e-05,-0.59908069152064,-0.392352727799364,0.61002233903169,0.370818506136004,1,1
"ATP8A2",-0.351292496092921,3.73954474571916e-08,-0.446481282641299,1.83450172381502e-07,-0.404750168955532,-0.320746887149813,0.377062442246548,0.221828891618574,1,1
"ATP8B1",0.452675026426051,1.14282841640051e-18,0.164830074061151,0.00913253563332689,0.597150531790742,0.126824816926826,-0.557529582239016,-0.255982491066038,1,1
"ATP8B4",0.322268279357507,1.14426934940717e-09,0.088626331544595,0.214793669043215,0.239622021675789,-0.0510412730512176,-0.213892335531067,0.00417187884091349,0,0
"ATP9A",-0.388768307274044,4.04034316121537e-15,-0.409235844608976,1.90724211545373e-09,-0.60504136825208,-0.414802267073995,0.610501508104612,0.470230411776716,1,1
"ATPAF1",-0.220124840139973,3.1305459798573e-06,-0.00434783122226587,0.951629378070515,-0.379572903581858,-0.0636069779133726,0.193983269167838,0.0795727603365111,0,0
"ATRNL1",-0.269809277078357,1.42609765327989e-06,-0.287593339578716,0.000249633043647179,-0.267080194385483,-0.217819670841228,0.417266221777694,0.237059578019559,1,1
"ATXN10",-0.294400475905818,2.59039803635946e-10,-0.0613194043997795,0.376250136536662,-0.434908893346982,-0.0637852214024808,0.393108883102145,0.178345287182796,0,0
"ATXN2L",-0.241509140608651,5.21779426817079e-07,-0.0733870500892665,0.285214010835702,-0.327158296530539,0.0446605934346156,0.314933555504623,0.0253627722016961,0,0
"ATXN7L2",-0.174114225710106,0.00130033638965229,-0.00346598146941616,0.96108070486749,-0.287265412719546,-0.00470225807074954,0.345442855504812,0.146013950508082,0,0
"ATXN7L3",-0.233579051336097,1.01246441679351e-06,0.0901138197129485,0.188319771010382,-0.452899221587167,-0.0811527927229457,0.342807403794879,-0.0140798971081326,0,0
"AURKA",0.538399063693736,7.92301771694437e-20,0.61721340069761,4.33858691044778e-24,0.675316336879471,0.515975540630413,-0.603068490321564,-0.380920067455323,1,1
"AURKB",0.467702651187871,6.99093155945035e-16,0.568659901176997,1.79432737155339e-16,0.574060775128763,0.464189481902813,-0.470255744800714,-0.259080224588853,1,1
"AVIL",0.344258002534041,2.34473317112817e-20,0.485732207356957,3.11079525903087e-15,0.303949461810298,0.247744162952753,-0.261161001430981,-0.305729197353615,1,1
"AVPI1",-0.41696258270764,5.66249866958814e-15,-0.27686372030634,3.12085365976395e-05,-0.649410668804002,-0.302597078063685,0.572103389706294,0.254007832933196,1,1
"AXIN2",-0.275453898018461,2.41590380261657e-07,0.0198174013226189,0.780125259043131,-0.526267465863483,-0.179780572772559,0.431343396361973,0.169836485171372,0,1
"AXL",0.202590940922527,0.000273944987824147,0.036143849627284,0.614980357262006,0.0350739885908459,-0.0539935371080866,-0.135886460453937,-0.0495879049311986,0,0
"AZIN1",-0.258869395038271,1.0886578434366e-08,-0.00746274070717756,0.916059013915895,-0.416970359962183,-0.164089910421909,0.400027674242484,0.215038336698873,0,1
"B2M",0.219882957939658,4.18046330502295e-05,0.12203990819287,0.115391130920917,0.255723652105843,0.185836940433258,-0.271901479527036,-0.152460969679984,0,1
"B3GALNT1",0.222525248867588,0.000176496883546297,0.218870609736195,0.00233452279458093,0.173685231966294,0.0433993968403873,-0.29912084923335,-0.173130725336715,1,0
"B3GALT2",-0.339857213217073,3.64634655382457e-10,-0.239282730580746,0.000770302301786676,-0.437300812629395,-0.29795842890094,0.482065616512646,0.32445730377333,1,1
