"setting","anchor","rep","arm","n_disc","n_repl","n_prog","replic_rate","auc_anchor_product","auc_anchor_absdiff","auc_level_concord","auc_range_concord","auc_coexpr_preserv","auc_effsize"
"glioma: TCGA->CGGA-325","grade",5,"null_ratematched",513,222,1723,0.856065002901915,0.894073264078732,0.625899398578458,0.568720612356479,0.481850738108256,0.85901585565883,0.893747949699289
"glioma: TCGA->CGGA-325","grade",6,"null",513,222,1746,0.833333333333333,0.933656900603441,0.504991674637758,0.628936833528182,0.52972449545943,0.872287762307956,0.868105005845467
"glioma: TCGA->CGGA-325","grade",6,"real",513,222,1746,0.856815578465063,0.938069518716578,0.77564705882353,0.562676470588235,0.696705882352941,0.872318181818182,0.751245989304813
"glioma: TCGA->CGGA-325","grade",6,"null_ratematched",513,222,1746,0.856815578465063,0.936077540106952,0.506227272727273,0.620433155080214,0.526663101604278,0.87483422459893,0.86027807486631
"glioma: TCGA->CGGA-325","grade",7,"null",513,222,1772,0.788939051918736,0.863060674913742,0.587462608921836,0.562828486837575,0.471206000933343,0.882777535516743,0.873576078890393
"glioma: TCGA->CGGA-325","grade",7,"real",513,222,1772,0.858916478555305,0.939503285151117,0.773724047306176,0.559400788436268,0.701624178712221,0.867787122207622,0.744210249671485
"glioma: TCGA->CGGA-325","grade",7,"null_ratematched",513,222,1772,0.858916478555305,0.863558475689882,0.587965834428384,0.574178712220762,0.477038107752957,0.886344283837057,0.882722733245729
"glioma: TCGA->CGGA-325","grade",8,"null",513,222,1707,0.9302870533099,0.88483479033931,0.618313824270262,0.603502106132125,0.559813094003344,0.775331795186588,0.922766335753445
"glioma: TCGA->CGGA-325","grade",8,"real",513,222,1707,0.867018160515524,0.937840814382665,0.799827360400048,0.569841647815216,0.725687581854983,0.878056911537088,0.719731515656626
"glioma: TCGA->CGGA-325","grade",8,"null_ratematched",513,222,1707,0.867018160515524,0.888927253244434,0.600336349565424,0.602580664364805,0.542772949160614,0.77690498868913,0.900473270627456
"glioma: TCGA->array-301","grade",1,"null",487,248,1720,0.862209302325581,0.880564826116522,0.604983056923615,0.321525815785655,0.548255759365638,0.804245584984252,0.893055188052499
"glioma: TCGA->array-301","grade",1,"real",487,248,1720,0.856395348837209,0.929931754028656,0.776074606067103,0.435476910983396,0.669231044083654,0.925286740272269,0.754199064950485
"glioma: TCGA->array-301","grade",1,"null_ratematched",487,248,1720,0.856395348837209,0.880675368509006,0.606009383477494,0.317606251254016,0.545896309000607,0.799819146801674,0.890407909166619
"glioma: TCGA->array-301","grade",2,"null",487,248,1685,0.909792284866469,0.879480379029766,0.587865210972637,0.482855254574793,0.502197274006935,0.877677927695952,0.912143372128952
"glioma: TCGA->array-301","grade",2,"real",487,248,1685,0.859347181008902,0.935126582278481,0.755918246031191,0.421349395062592,0.687498543021656,0.9230220062009,0.726490197449705
"glioma: TCGA->array-301","grade",2,"null_ratematched",487,248,1685,0.859347181008902,0.865407254586568,0.564701494276989,0.476254166958062,0.508065832109472,0.850942373592559,0.889695083572278
"glioma: TCGA->array-301","grade",3,"null",487,248,1679,0.924955330553901,0.914313310642995,0.616093786731263,0.475071290589642,0.456402865932808,0.856309855987898,0.885372908553849
